same,dht,page,padam,linga,Image Caption,Imaage link,alnk,,unicode,,,,,,,
,,0,मेषः,,,https://openmoji.org/data/color/svg/1F40F.svg,,,1F40F,,,,,,,
,,0,वृषभः,,,https://openmoji.org/data/color/svg/2649.svg,,,2649,,,,,,,
,,0,मिथुनम्,,,https://openmoji.org/data/color/svg/264A.svg,,,264A,,,,,,,
,,0,कर्कटः,,,https://openmoji.org/data/color/svg/1F980.svg,,,1F980,,,,,,,
,,0,सिंहः,,,https://openmoji.org/data/color/svg/1F981.svg,,,1F981,,,,,,,
,,0,कन्या,,,https://openmoji.org/data/color/svg/1F467.svg,,264D,1F467,,,,,,,
,,0,तुला,,,https://openmoji.org/data/color/svg/2696.svg,,,2696,,,,,,,
,,0,वृश्चिकः,,,https://openmoji.org/data/color/svg/1F982.svg,,,1F982,,,,,,,
,,0,धनुः,,,https://openmoji.org/data/color/svg/1F3F9.svg,,,1F3F9,,,,,,,
,,0,मकरः,,,https://openmoji.org/data/color/svg/1F40A.svg,,,1F40A,,,,,,,
,,0,कुम्भः,,,https://openmoji.org/data/color/svg/2652.svg,,,2652,,,,,,,
,,0,मीनः,,,https://openmoji.org/data/color/svg/1F41F.svg,,,1F41F,,,,,,,
,,0,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,
TRUE,गणेशः,1,गणेशः,p,gaṇeśaḥ,imgs/bp01/c01.png,imgs/bp01/u01.mp3,,,https://zat.am/bp26/,,,,,,1
TRUE,रामः,1,रामः,p,rāmaḥ,imgs/bp01/c02.png,imgs/bp01/u02.mp3,,,,,,,,,2
TRUE,कृष्णः ,1,कृष्णः ,p,kr̥ṣṇaḥ,imgs/bp01/c03.png,imgs/bp01/u03.mp3,,,,,,,,,3
TRUE,शिवः,1,शिवः,p,śivaḥ,imgs/bp01/c04.png,imgs/bp01/u04.mp3,,,,,,,,,4
TRUE,सरस्वती,1,सरस्वती,s,sarasvatī,imgs/bp01/c05.png,imgs/bp01/u05.mp3,,,,,,,,,5
TRUE,दुर्गा ,1,दुर्गा ,s,durgā,imgs/bp01/c06.png,imgs/bp01/u06.mp3,,,,,,,,,6
